Location,LocationHierarchy,audience_Lula,audience_Marina,audience_Ciro,audience_Alckmin,audience_Dias,audience_Bolsonaro,Frequency,%audience_Lula,%audience_Marina,%audience_Bolsonaro,%audience_Ciro,%audience_Alckmin,%audience_Dias,audience_13-18,audience_19-30,audience_46-65,audience_65+,audience_31-45,audience_13-18_Lula_man,audience_19-30_Lula_man,audience_46-65_Lula_man,audience_65+_Lula_man,audience_31-45_Lula_man,audience_13-18_Marina_man,audience_19-30_Marina_man,audience_46-65_Marina_man,audience_65+_Marina_man,audience_31-45_Marina_man,audience_13-18_Bolsonaro_man,audience_19-30_Bolsonaro_man,audience_46-65_Bolsonaro_man,audience_65+_Bolsonaro_man,audience_31-45_Bolsonaro_man,audience_13-18_Ciro_man,audience_19-30_Ciro_man,audience_46-65_Ciro_man,audience_65+_Ciro_man,audience_31-45_Ciro_man,audience_13-18_Alckmin_man,audience_19-30_Alckmin_man,audience_46-65_Alckmin_man,audience_65+_Alckmin_man,audience_31-45_Alckmin_man,audience_13-18_Dias_man,audience_19-30_Dias_man,audience_46-65_Dias_man,audience_65+_Dias_man,audience_31-45_Dias_man,audience_13-18_Lula_woman,audience_19-30_Lula_woman,audience_46-65_Lula_woman,audience_65+_Lula_woman,audience_31-45_Lula_woman,audience_13-18_Marina_woman,audience_19-30_Marina_woman,audience_46-65_Marina_woman,audience_65+_Marina_woman,audience_31-45_Marina_woman,audience_13-18_Bolsonaro_woman,audience_19-30_Bolsonaro_woman,audience_46-65_Bolsonaro_woman,audience_65+_Bolsonaro_woman,audience_31-45_Bolsonaro_woman,audience_13-18_Ciro_woman,audience_19-30_Ciro_woman,audience_46-65_Ciro_woman,audience_65+_Ciro_woman,audience_31-45_Ciro_woman,audience_13-18_Alckmin_woman,audience_19-30_Alckmin_woman,audience_46-65_Alckmin_woman,audience_65+_Alckmin_woman,audience_31-45_Alckmin_woman,audience_13-18_Dias_woman,audience_19-30_Dias_woman,audience_46-65_Dias_woman,audience_65+_Dias_woman,audience_31-45_Dias_woman,TotalPopulation,%population_none,%population_Lula,%population_Marina,%population_Bolsonaro,%population_Ciro,%population_Alckmin,%population_Dias
"Bahia, Brazil",State,640000.0,79000.0,93000.0,30000.0,28000.0,170000.0,Monthly,61.54,7.6,16.35,8.94,2.88,2.69,990000.0,3100000.0,1100000.0,160000.0,2300000.0,20000.0,110000.0,58000.0,8400.0,110000.0,1800.0,17000.0,9000.0,1500.0,16000.0,9800.0,66000.0,13000.0,2400.0,37000.0,1600.0,18000.0,9900.0,1600.0,20000.0,1000.0,5700.0,5400.0,1000.0,7200.0,1000.0,3300.0,5800.0,1300.0,5900.0,31000.0,120000.0,77000.0,13000.0,110000.0,1800.0,12000.0,10000.0,1900.0,11000.0,9800.0,66000.0,13000.0,2400.0,37000.0,1600.0,18000.0,9900.0,1600.0,20000.0,1000.0,5700.0,5400.0,1000.0,7200.0,1000.0,3300.0,5800.0,1300.0,5900.0,7400000.0,85.95,8.65,1.07,2.3,1.26,0.41,0.38
"Bahia, Brazil",State,477866.0,64269.0,73317.0,24281.0,21411.0,117345.0,Daily,61.38,8.26,15.07,9.42,3.12,2.75,451967.0,1628532.0,594439.0,75387.0,1384906.0,14094.0,79507.0,42901.0,6212.0,80888.0,1564.0,13691.0,6168.0,953.0,13237.0,6731.0,44121.0,8253.0,1568.0,24901.0,1299.0,13546.0,7376.0,1385.0,15844.0,874.0,4977.0,3959.0,635.0,5951.0,499.0,2612.0,4038.0,699.0,4332.0,21632.0,91967.0,63156.0,10636.0,89126.0,1529.0,9503.0,8395.0,1564.0,9679.0,6731.0,44121.0,8253.0,1568.0,24901.0,1299.0,13546.0,7376.0,1385.0,15844.0,874.0,4977.0,3959.0,635.0,5951.0,499.0,2612.0,4038.0,699.0,4332.0,4000439.0,80.54,11.95,1.61,2.93,1.83,0.61,0.54
"Ceará, Brazil",State,510000.0,61000.0,150000.0,27000.0,21000.0,150000.0,Monthly,55.5,6.64,16.32,16.32,2.94,2.29,610000.0,2100000.0,710000.0,100000.0,1400000.0,17000.0,99000.0,39000.0,5500.0,78000.0,1700.0,15000.0,1000.0,1000.0,11000.0,8400.0,61000.0,10000.0,1800.0,32000.0,3600.0,35000.0,15000.0,2000.0,35000.0,1000.0,5800.0,5000.0,1000.0,6400.0,1000.0,3100.0,4000.0,1000.0,4500.0,23000.0,110000.0,64000.0,10000.0,92000.0,1000.0,9400.0,8100.0,1400.0,8200.0,8400.0,61000.0,10000.0,1800.0,32000.0,3600.0,35000.0,15000.0,2000.0,35000.0,1000.0,5800.0,5000.0,1000.0,6400.0,1000.0,3100.0,4000.0,1000.0,4500.0,5000000.0,81.62,10.2,1.22,3.0,3.0,0.54,0.42
"Ceará, Brazil",State,395215.0,50646.0,120017.0,22499.0,14920.0,105420.0,Daily,55.76,7.15,14.87,16.93,3.17,2.11,294426.0,1186639.0,441335.0,56043.0,878452.0,10833.0,73500.0,31525.0,4539.0,62550.0,1551.0,12857.0,786.0,908.0,8341.0,4980.0,42251.0,7128.0,1371.0,23051.0,2137.0,28611.0,11666.0,1499.0,28706.0,874.0,4816.0,3859.0,768.0,5470.0,499.0,2429.0,2571.0,732.0,2999.0,15930.0,85952.0,52526.0,8095.0,75280.0,764.0,7760.0,7327.0,1399.0,6913.0,4980.0,42251.0,7128.0,1371.0,23051.0,2137.0,28611.0,11666.0,1499.0,28706.0,874.0,4816.0,3859.0,768.0,5470.0,499.0,2429.0,2571.0,732.0,2999.0,2975999.0,76.19,13.28,1.7,3.54,4.03,0.76,0.5
"Federal Distric, Brazil",State,130000.0,34000.0,34000.0,11000.0,18000.0,110000.0,Monthly,38.58,10.09,32.64,10.09,3.26,5.34,190000.0,910000.0,430000.0,68000.0,750000.0,2300.0,22000.0,17000.0,3000.0,23000.0,1000.0,6300.0,4000.0,1000.0,7000.0,4400.0,40000.0,10000.0,1900.0,28000.0,1000.0,5900.0,4000.0,1000.0,7400.0,1000.0,2000.0,2300.0,1000.0,2700.0,1000.0,1700.0,3900.0,1000.0,3800.0,3400.0,20000.0,23000.0,5100.0,23000.0,1000.0,4900.0,4700.0,1000.0,5900.0,4400.0,40000.0,10000.0,1900.0,28000.0,1000.0,5900.0,4000.0,1000.0,7400.0,1000.0,2000.0,2300.0,1000.0,2700.0,1000.0,1700.0,3900.0,1000.0,3800.0,2300000.0,85.35,5.65,1.48,4.78,1.48,0.48,0.78
"Federal Distric, Brazil",State,100892.0,27142.0,28883.0,9554.0,14272.0,79957.0,Daily,38.7,10.41,30.67,11.08,3.66,5.47,96402.0,538234.0,254968.0,33630.0,482599.0,1572.0,16677.0,11707.0,2469.0,18350.0,999.0,4554.0,3216.0,998.0,6012.0,3264.0,28020.0,6651.0,1447.0,19219.0,664.0,5205.0,3350.0,833.0,6199.0,997.0,1738.0,1971.0,832.0,2468.0,997.0,1341.0,2905.0,642.0,2955.0,2719.0,14562.0,18362.0,3628.0,18311.0,999.0,3833.0,3845.0,615.0,4765.0,3264.0,28020.0,6651.0,1447.0,19219.0,664.0,5205.0,3350.0,833.0,6199.0,997.0,1738.0,1971.0,832.0,2468.0,997.0,1341.0,2905.0,642.0,2955.0,1389813.0,81.24,7.26,1.95,5.75,2.08,0.69,1.03
"Espírito Santo, Brazil",State,130000.0,27000.0,28000.0,14000.0,14000.0,120000.0,Monthly,39.04,8.11,36.04,8.41,4.2,4.2,240000.0,950000.0,470000.0,69000.0,780000.0,3000.0,22000.0,16000.0,2600.0,23000.0,1000.0,5200.0,3500.0,1000.0,5400.0,4900.0,40000.0,9500.0,1700.0,28000.0,1000.0,5300.0,3000.0,1000.0,5600.0,1000.0,2400.0,2900.0,1000.0,3400.0,1000.0,1200.0,3300.0,1000.0,2800.0,4400.0,19000.0,19000.0,4000.0,19000.0,1000.0,4100.0,3600.0,1000.0,4000.0,4900.0,40000.0,9500.0,1700.0,28000.0,1000.0,5300.0,3000.0,1000.0,5600.0,1000.0,2400.0,2900.0,1000.0,3400.0,1000.0,1200.0,3300.0,1000.0,2800.0,2500000.0,86.68,5.2,1.08,4.8,1.12,0.56,0.56
"Espírito Santo, Brazil",State,102209.0,21875.0,22875.0,11162.0,9721.0,91093.0,Daily,39.47,8.45,35.18,8.83,4.31,3.75,118009.0,560879.0,283485.0,35842.0,499199.0,1948.0,17035.0,11247.0,1609.0,18571.0,997.0,4670.0,2515.0,499.0,4608.0,2605.0,30914.0,6399.0,1227.0,19641.0,997.0,4462.0,2446.0,999.0,4393.0,0.0,2125.0,2212.0,832.0,2480.0,997.0,999.0,2302.0,699.0,1983.0,3019.0,15573.0,16172.0,3349.0,15537.0,888.0,3029.0,2861.0,749.0,3148.0,2605.0,30914.0,6399.0,1227.0,19641.0,997.0,4462.0,2446.0,999.0,4393.0,0.0,2125.0,2212.0,832.0,2480.0,997.0,999.0,2302.0,699.0,1983.0,1522104.0,82.99,6.71,1.44,5.98,1.5,0.73,0.64
"Mato Grosso do Sul, Brazil",State,120000.0,19000.0,21000.0,10000.0,15000.0,91000.0,Monthly,43.48,6.88,32.97,7.61,3.62,5.43,180000.0,690000.0,350000.0,47000.0,550000.0,2700.0,20000.0,17000.0,2400.0,21000.0,1000.0,3600.0,2700.0,1000.0,3200.0,3700.0,32000.0,7800.0,1200.0,21000.0,1000.0,3500.0,2500.0,1000.0,3400.0,1000.0,1600.0,2600.0,1000.0,2400.0,1000.0,1500.0,3300.0,1000.0,3100.0,4400.0,18000.0,20000.0,3400.0,19000.0,1000.0,3400.0,2700.0,1000.0,3200.0,3700.0,32000.0,7800.0,1200.0,21000.0,1000.0,3500.0,2500.0,1000.0,3400.0,1000.0,1600.0,2600.0,1000.0,2400.0,1000.0,1500.0,3300.0,1000.0,3100.0,1800000.0,84.67,6.67,1.06,5.06,1.17,0.56,0.83
"Mato Grosso do Sul, Brazil",State,102222.0,16189.0,18211.0,8627.0,13051.0,75528.0,Daily,43.72,6.92,32.3,7.79,3.69,5.58,98894.0,449327.0,227362.0,28532.0,383972.0,1824.0,17641.0,14694.0,1971.0,18615.0,997.0,3393.0,2519.0,999.0,2946.0,3117.0,27516.0,5489.0,932.0,16563.0,999.0,2895.0,2179.0,832.0,3061.0,0.0,1279.0,2064.0,749.0,2279.0,999.0,1199.0,2828.0,666.0,2582.0,3519.0,14432.0,16871.0,2927.0,16517.0,997.0,2913.0,2342.0,999.0,2651.0,3117.0,27516.0,5489.0,932.0,16563.0,999.0,2895.0,2179.0,832.0,3061.0,0.0,1279.0,2064.0,749.0,2279.0,999.0,1199.0,2828.0,666.0,2582.0,1166879.0,79.96,8.76,1.39,6.47,1.56,0.74,1.12
